category,events,points,tname,tid,tc,tbc,tbd
A,11,165,BRT,4,ffffff,050505,ff8100
A,7,108,Vision,9,ffffff,2ea9e0,000000
A,5,82,Vikings,90,c2c2c2,0073b7,ee6331
A,6,63,TeamNL,2281,ffffff,ffa500,ffa500
A,2,54,ZRG,1942,1bc1f1,5b5b5b,1bc1f1
A,2,51,Sz,32,f3f300,0073b7,f3f300
A,3,41,Team Italy,588,dd4b39,ffffff,00a65a
A,2,32,FUCM,3089,ffffff,37d96e,ffffff
A,1,23,Innovation,975,000000,52ff33,000000
A,1,21,Dragstrip,3592,000000,e66c2c,000000
A,1,21, VEGAN ,1845,ffffff,00a65a,0adb2c
A,1,21,KISS RT,36,f56600,012350,84b7ca
A,1,19,TTU,2944,ffffff,0073b7,ffffff
A,1,19,MarSting Story,3253,ffffff,0073b7,ffffff
A,1,17,Erdinger ,2327,ffffff,0073b7,ffffff
A,1,17,TOR,2743,ffffff,0073b7,ffffff
A,1,17,Team France,574,dd4b39,ffffff,0073b7
A,1,15,Team SUI,391,ffffff,ff0017,ffffff
A,1,15,Dutch Racing,3751,121212,fc6719,121212
A,1,15,Foudre &#9889;&#65039;,2898,ffffff,81b9e8,ffffff
A,1,13,BOXFISH,2943,ffffff,0073b7,ffffff
A,1,11,BMPRO,3343,120303,ffff00,2b0a0a
A,1,7,NFCC,2291,fcfcfc,d40707,14ab1a
A,1,7,NUTRIXXION,2244,ffffff,000000,00fa27
A,1,7, 1D,3265,faf8f8,7a4988,000000
A,1,7,Race3R,791,000000,2bc3f4,ffffff
A,1,7,N&auml;ssj&ouml;Ck,2829,ffffff,0073b7,ffffff
A,1,5,_OneLove,1915,ffffff,f012be,f012be
A,1,5,VelociT,1071,ffffff,0073b7,ffffff
A,1,5,RACC,3937,300c0c,000000,ffffff
A,1,4,SAS Cycle Club,1348,ffffff,236192,236192
A,1,3,KirchmairCycling,2991,210606,f2e80d,000103
B,11,274,ZRG,1942,1bc1f1,5b5b5b,1bc1f1
B,19,242,BRT,4,ffffff,050505,ff8100
B,5,148,Vikings,90,c2c2c2,0073b7,ee6331
B,3,73,DBR,1986,ffffff,eb7b2a,ffffff
B,2,50,Sz,32,f3f300,0073b7,f3f300
B,3,44,Race3R,791,000000,2bc3f4,ffffff
B,1,39,SoCo,3724,ffffff,0073b7,ffffff
B,1,27,PTz,1,ffffff,403d3a,e3680f
B,1,26,Innovation,975,000000,52ff33,000000
B,1,25,CYKELMAGASINET,2127,0f0f0f,36a7eb,0f0303
B,1,25,Persis Team,911,ffffff,0073b7,ffffff
B,1,23,Vixen/Fox,1940,7409a6,f79d4b,ffffff
B,1,23,TPA,1849,ffffff,0073b7,001100
B,1,21,Team France,574,dd4b39,ffffff,0073b7
B,2,20,STW,756,ffffff,0073b7,ffffff
B,1,19,TeamNL,2281,ffffff,ffa500,ffa500
B,2,18,BZR cycling team,35,f3f300,111111,dd4b39
B,1,17,TFC,10,111111,f3f300,111111
B,1,15,Team CRYO-GEN,2740,ffffff,0073b7,ffffff
B,2,12,PACK,2928,ffffff,000000,ff6600
B,1,6,NFCC,2291,fcfcfc,d40707,14ab1a
B,1,5,Team BDC,2092,fdfdfc,7d7b7b,f38907
B,1,3,MNR,2909,ffffff,c90606,c90606
C,21,247,BRT,4,ffffff,050505,ff8100
C,1,23,ZHR,1979,ff0000,03228c,03228c
C,1,19,Team X,2,f5f7f6,111111,00a65a
C,1,19,EWCC,2961,000000,ffff33,e47200
C,2,10,ZRG,1942,1bc1f1,5b5b5b,1bc1f1
C,1,9,ONE Pro,1865,ffffff,0073b7,ffffff
C,1,7,BKRS,2363,ffffff,35b59e,000000
C,1,7,Team CLS,1426,3d9970,ffffff,ffffff
C,1,5,TVZT,2887,ffffff,212020,d93838
C,1,4,Les Pedaleux du Dimanche,3975,9f01fe,cdfe01,219820
C,1,3,TPA,1849,ffffff,0073b7,001100
C,1,3,HERD,2639,383c3d,fc6719,fc6719
C,1,1,Cyclonauts ,3339,190000,cfcf29,000000
C,1,1,HIK,719,ffffff,0073b7,ffffff
D,9,79,BRT,4,ffffff,050505,ff8100
D,1,10,PTz,1,ffffff,403d3a,e3680f
D,1,10,Team CRYO-GEN,2740,ffffff,0073b7,ffffff
D,1,7,ZESP,2146,000000,fabd00,ad1519
D,1,5,Vision,9,ffffff,2ea9e0,000000
D,1,5,Equipe JZQc,2571,ffffff,003399,ffffff
