position,category,name,flag
1,A,Hywel Davies (The BRaT Pack),gb-wls
2,A,Christian Moxon &#128304;,nz
3,A,Lucas Byam &#129410;,tt
4,A,Edu Harms &#128304; [BRT],nl
5,A,Aaron Barry&#9889;&#65039;(BRT),gb
6,A,Bill Dobson (BRT Tripel Beers),gb
7,A,Seb Ader [BRT] (BRT Tripel Beers),gb
8,A,Ben Mottram (The BRaT Pack),gb
9,A,Tom Gakes &#128304;,nl
10,A,Rhys  Richard [BRT] (BRT Craft Beers),gb-wls
11,A,Marcus Illingworth (BRT Tripel Beers),gb
12,A,Stuart Leach (BRT),gb
13,A,Sean Casson (BRT Tripel beers),gb
1,B,Kevin Horsley &#128052; (BRT),gb
2,B,Michael Durr (BRT),gb
3,B,Stuart Hardy &#9889; [BRT],gb
4,B,Scott McGonigle [BRT],gb-sct
5,B,Andrew Ashwin (BRT),gb
6,B,Andy Barrie,gb-sct
7,B,Alex Jong,us
8,B,Rob Spink,gb
9,B,Steve Claxton (BRT Craft Beers),gb
10,B,Scott Sherrer (BRT Tequilla Chasers),us
11,B,Martin Pittock,gb
12,B,Lexie Lightning&#128304;&#9889;&#65039;(SC - BRT Craft Beers),nl
13,B,Roby Rippinger ( BRT Draft Beers ),lu
14,B,Richard Jones [BRT],kn
15,B,Brendan  Parker (BRT),gb
16,B,Matt Cope (BRT),gb
17,B,Glebster Carr (BRT),gb
18,B,Joe Allen (BRT Trappist Beers),gb
19,B,Tom Waddell,gb
20,B,Darren Green [BRT] (B) 68KG,gb-eng
21,B,Heath Williamson (BRT Chasers),gb
22,B,Vin Lam [BRT]  (Serpentine),au
23,B,John Hawthorne,us
24,B,Jim Connally (BRT Cosmos),us
1,C,Derek Cahoon (BRT Chasers),us
2,C,Patch Harvey (BRT Chasers),gb
3,C,David Swan [BRT] (BRT Tequilla Chasers),gb-wls
4,C,Gavin Florence,gb-sct
5,C,Art Pacione (BRT Cosmos),us
6,C,Steve Wiltshire,gb
7,C,Ellie Spink,gb
8,C,Dan McKenzie,gb
9,C,Michael Chatfield [BRT] (BRT Tequilla Chasers),us
10,C,Jason Clarke (BRT Venus),gb
11,C,Matt Tapping [BRT],gb
12,C,Rosie Holding (BRT Venus),gb
13,C,Ade Manning (BRT Cosmos),gb-eng
14,C,Ned Newlin [BRT] USAC 595386,us
15,C,Russ Graham,gb-sct
16,C,Keiko Flores [BRT] (USAC# 407712),jp
17,C,Mel Glover (BRT Venus),gb
18,C,Sue Swan,gb-wls
19,C,Gary Moss (BRT Macchiato),gb
1,D,Raymond Connor (BRT MACCHIATO),gb-eng
2,D,Claire Rouse (BRT Venus),gb
3,D,Philip Sturgess (BRT),gb
