category,events,points,tid,tname,tc,tbc,tbd
A,3,36,4,BRT,ffffff,050505,ff8100
A,1,18,9,Vision,ffffff,2ea9e0,000000
A,1,13,4204,Woolwich CC,ffffff,0073b7,ffffff
A,1,9,5894,CK Master,ffffff,0073b7,ffffff
A,1,5,1942,ZRG,1bc1f1,3d3d3d,1bc1f1
B,2,28,4,BRT,ffffff,050505,ff8100
B,1,11,3393,MLARC,ffffff,0073b7,e60000
B,1,10,4334,FSD,ffffff,0073b7,ffffff
B,1,7,5632,RR 2020,ffffff,0073b7,ffffff
C,2,23,4,BRT,ffffff,050505,ff8100
C,1,18,25,ZTPL.CC,ffffff,ff1800,ff0000
C,1,15,5522,RAFCA,e81d1d,ffffff,0073b7
C,1,9,90,Vikings,c2c2c2,0073b7,ee6331
C,1,7,5530,FRS,ffffff,0073b7,ffffff
