category,events,points,tid,tname,tc,tbc,tbd
A,5,115,2707,DIRT,29ec34,211208,df6a0d
A,4,67,32,SZ,ffffff,285697,ffd700
A,2,52,2582,Velocio,ffffff,63eff4,f6b6b6
A,2,42,2779,Finesse Rockets,000000,ffffff,800080
A,1,42,6626,BRC,ffffff,0073b7,c27f7f
A,1,39,10684,Wattie Ink. Racing,f5f511,030303,e9ed0d
A,1,37,10683,PETA-Z,ff0000,ffff00,000000
A,1,34,4736,KALAS eSRT,ff0000,000000,ff0000
A,4,32,2740,Team CRYO-GEN,ffffff,009fe3,0c1e4f
A,2,32,3711,+Restart,5da29d,162a25,5da29d
A,1,31,161,ZSUNR,ffd808,1c1300,ffffff
A,1,31,5229,TBW23,f7f7f7,000000,ff0000
A,2,26,9,Vision,ffffff,2ea9e0,000000
A,2,26,3028,HCCC,000080,aacab3,000080
A,1,26,2854,FUSION ECT,ffffff,000000,ffffff
A,1,26,36,KISS RT,f56600,012350,84b7ca
A,1,25,13465,Vitus E-Sports,ffffff,000000,f60000
A,1,21,4201,WTRL,d4af37,000000,d4af37
A,1,21,12256,BZR-SPSD eTeam,111111,f3f300,ff3400
A,1,21,5840,X-CASE,ffffff,10609f,ffffff
A,2,20,90,Vikings,c2c2c2,0073b7,ee6331
A,1,19,7026,CICLI STEFANELLI,dea2a2,06060a,ffffff
A,2,17,963,CHOCK,ffffff,000000,575757
A,1,17,6084,ZWZR,ffffff,7d2248,ce0058
A,1,17,7168,ROCK SIERRA,ffffff,000000,f4ff03
A,1,17,5408,BHC,ffffff,646464,000000
A,1,15,775,Sandane SK,ffffff,0073b7,ffffff
A,1,15,4493,ZTPL.CC eRacing,ffffff,ff0000,000000
A,1,13,2991,KIRCHMAIR e-Cycling,210606,f2e80d,000103
A,1,11,14069,Diagnose,faf4f4,0073b7,240303
A,1,11,4,BRT,ffffff,050505,ff8100
A,1,7,14648,DPS,ffffff,0073b7,ffffff
A,1,7,6390,NRCC,e3e3e3,661b1b,ffffff
A,1,7,265,RCC,fc2097,d2d6de,111111
A,1,5,7095,Chi,fc0000,ffffff,00ffff
A,1,5,9226,MSC,ffffff,e67e22,ffffff
A,1,5,4230,Team High Rollers,c90101,7dc8e0,4b418c
A,1,4,7248,Bogdziewicz Team,ffffff,0073b7,ffffff
A,1,4,5205,Jamison - Cannondale,ffffff,0073b7,ffffff
A,1,3,3592,Dragstrip,000000,e66c2c,000000
A,1,3,9009,Gainz,ffffff,0073b7,ffffff
B,32,733,4,BRT,ffffff,050505,ff8100
B,3,103,2707,DIRT,29ec34,211208,df6a0d
B,3,85,2281,TeamNL,ffffff,ffa500,ffa500
B,2,84,3061,Ironworks,ffffff,0073b7,ffffff
B,2,64,32,SZ,ffffff,285697,ffd700
B,2,54,90,Vikings,c2c2c2,0073b7,ee6331
B,2,52,3941,Warriors,ffffff,2b0000,ffffff
B,1,50,6605,United,ffffff,0073b7,ffffff
B,2,46,14069,Diagnose,faf4f4,0073b7,240303
B,1,45,4354,J&aelig;ren Zwift Riders,ffffff,000000,de2020
B,2,44,13257,FIFCYCLING,ffffff,0073b7,ffffff
B,2,42,963,CHOCK,ffffff,000000,575757
B,1,42,14461,Team Winforce,ffffff,0073b7,ffffff
B,1,41,3282,POAUTO - CeramicSpeed,ffffff,20d6d6,007788
B,1,39,3562,Scott-RackUltra,ffffff,0073b7,ffffff
B,1,37,4844,Team QuickPay,75c4e2,28303a,3e8fb7
B,1,35,9749,ZORROS,ffffff,0073b7,ffffff
B,1,35,36,KISS RT,f56600,012350,84b7ca
B,1,33,12318,AUDI-B,ffffff,0073b7,ffffff
B,1,33,11083,FFWD,ffffff,62a3cc,ffffff
B,1,33,1986,DBR,ffffff,213ed6,ffffff
B,3,31,4585,TeamFRL,ffffff,ff0000,318ce7
B,2,30,11939,DZR,ffffff,ff0000,ffffff
B,1,27,12065,DWB PDX,ffd700,000000,ffd700
B,1,27,629,Team AHDR,fc6955,55d4fc,ffffff
B,3,23,35,BZR eCycling Team,f3f300,111111,dd4b39
B,1,23,3601,IRIS-Bob Cyclo,ffffff,0073b7,ffffff
B,1,21,5449,Team G&aring;ping,ffffff,249af7,2c3628
B,1,19,7152,HWCC,cf1,0073b7,ffffff
B,1,17,8486,B2C2,ffffff,00b7da,ec7936
B,1,17,12561,The Club Roule,ffffff,0073b7,f74141
B,2,16,168,Team Type 1,ffffff,0073b7,ffffff
B,1,15,4225,Team KOTW,ffffff,0073b7,000000
B,1,13,6066,UNO-X,ffffff,ffbd00,bd3100
B,1,13,3418,Tunge Gir,ffffff,0073b7,ffffff
B,1,13,2991,KIRCHMAIR e-Cycling,210606,f2e80d,000103
B,2,11,2146,ZESP,000000,fabd00,ff0d01
B,1,11,11633,Team Cycling Power,000000,e6e6eb,171515
B,1,9,2488,Stages SuperCube,ffffff,0073b7,ffffff
B,1,9,4552,INDUSTRI,ffffff,0073b7,ff1919
B,1,8,6026,CK Aarhus,ffffff,0073b7,ffffff
B,1,8,975,Innovation,000000,52ff33,000000
B,1,8,11991,CANYON COALITION,ff00ff,0000ff,ff00ff
B,1,7,10,TFC,111111,f3f300,111111
B,1,6,2271,ART,ffffff,b70037,0a0909
B,1,5,6683,Gastown,ffffdd,000000,d92727
B,1,3,12916,Team RAVE,000000,ccff00,ff69b4
B,1,3,4773,Victoria Wheelers,f7f7f7,0d0000,ffe033
B,1,3,2750,SUMO,a30000,000000,f0e21f
B,1,2,6946,NCC,ff0000,000000,0098ff
B,1,1,2649,Dutch Diesel Cycling,ffffff,ef7124,23398f
C,5,80,2740,Team CRYO-GEN,ffffff,009fe3,0c1e4f
C,6,53,4,BRT,ffffff,050505,ff8100
C,2,42,12299,ACC,ffffff,c43636,c43636
C,1,31,13162,No balls,ffffff,0073b7,ffffff
C,1,26,5459,KWCC,f01f1f,101112,ffffff
C,1,26,3560,SSK,ffffff,0091ff,bfbfbf
C,1,26,975,Innovation,000000,52ff33,000000
C,1,25,1384,[EXN],ffffff,ee1d22,ee1d22
C,1,23,1986,DBR,ffffff,213ed6,ffffff
C,1,18,12265,Apogee,ffffff,0073b7,ffffff
C,1,18,2707,DIRT,29ec34,211208,df6a0d
C,1,17,4178,[ ATP ],e0ffff,008b8b,00008b
C,1,15,6431,Cycling Ireland,ffffff,008000,ffffff
C,1,7,3343,BMPRO,120303,ffff00,2b0a0a
C,1,5,2571,Equipe JZQc,ffffff,003399,ffffff
C,1,3,6880,BEER,000000,ffd600,ff2323
C,1,3,8851,FF.DD.U,000000,ef7f1a,000000
C,1,2,2146,ZESP,000000,fabd00,ff0d01
D,1,10,60,TBR Racing,ffffff,0073b7,ffffff
D,1,10,2649,Dutch Diesel Cycling,ffffff,ef7124,23398f
D,1,7,2281,TeamNL,ffffff,ffa500,ffa500
D,1,7,2740,Team CRYO-GEN,ffffff,009fe3,0c1e4f
D,1,7,1940,Vixen/Fox,7409a6,f79d4b,ffffff
D,1,5,2571,Equipe JZQc,ffffff,003399,ffffff
D,1,5,7152,HWCC,cf1,0073b7,ffffff
D,1,1,4,BRT,ffffff,050505,ff8100
