category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums
A,4,89,CyclingHub,2635,f65000,00364a,ffffff,Guus Bouman&#129414;,nl,408391,gold gold gold silver
A,3,63,CyclingHub,2635,f65000,00364a,ffffff,Quentijn Mulleneers &#127839;,be,161017,gold silver
A,3,36,CyclingHub,2635,f65000,00364a,ffffff,Niels Heldens,nl,883266,
A,2,24,CyclingHub,2635,f65000,00364a,ffffff,Timothy Termont &#128169;,be,121658,bronze
A,1,24,Team Poland,25,ffffff,ff1800,ff0000,LUKASZ GRABARCZYK,pl,506082,silver
A,1,22,CyclingHub,2635,f65000,00364a,ffffff,Ash Beech,gb,644482,bronze
A,1,22,,0,00dd00,,,Stefan Lastinger,de,795870,bronze
A,1,20,,0,00dd00,,,Daniel Costello &#9419; TTT 5012,gb,435998,
A,1,19,,0,00dd00,,,Stef van den Bosch 2793,nl,410165,gold
A,1,19,Innovation,975,000000,52ff33,000000,James Barnes,za,18123,gold
A,1,19,[DRAFT],1634,ffffff,e60d2e,000000,Greg Leo &#128304;,us,1361,gold
A,1,18,,0,00dd00,,,Cameron Stronge,gb,19858,
A,1,18,Vikings,90,c2c2c2,0073b7,ee6331,Johan Noraker Nossen &#128304;,no,135469,
A,1,16,Team MUR,2951,000000,adff2f,000000,Jean-Paul Tavernier,be,506055,silver
A,1,16,Team Type 1,168,ffffff,0073b7,ffffff,Reid Mcclure,ca,88008,silver
A,1,16,CyclingHub,2635,f65000,00364a,ffffff,Guido De Vries,se,180278,
A,1,16,,0,00dd00,,,Espen Nilsen,no,106725,
A,1,16,,0,00dd00,,,Mark Hansom,gb,14136,silver
A,1,16,Dutch Racing,3751,121212,fc6719,121212,Mick Kemper &#128640;,nl,20932,silver
A,1,14,,0,00dd00,,,Marcus Svensson M&ouml;lndal,se,1001043,bronze
A,1,14,,0,00dd00,,,Gui da Rosa,pt,10041,bronze
A,1,14,Race3R,791,000000,2bc3f4,ffffff,Roman T &#10026;,de,21486,bronze
A,1,14,,0,00dd00,,,Simon  Hamel ,ca,123704,bronze
A,1,12,,0,00dd00,,,Nick Winiarski,us,198966,
A,1,12,Team Bergziegen,3486,ffffff,000000,ff0000,Daniel Valverde ,de,59136,
A,1,12,BZR cycling team,35,f3f300,111111,dd4b39,Brett Wauters,be,63026,
A,1,12,,0,00dd00,,,Matt Exley,zw,936085,
A,1,12,,0,00dd00,,,Daniel Ward 9043,gb,135922,
A,1,12,,0,00dd00,,,Eric Ellis,us,59459,
A,1,12,RuhrRiders,41,ff8700,000000,5cb0fc,Benjamin Klammt,de,37125,
A,1,11,,0,00dd00,,,Matt Tomlinson,gb,1061390,gold
A,1,10,TeamNL,2281,ffffff,ffa500,ffa500,Thomas Raap,nl,409655,
A,1,10,,0,00dd00,,,Magnus Dehn ,dk,502257,
A,1,10,,0,00dd00,,,Chris Smith ZHR A,gb-wls,70787,
A,1,10,,0,00dd00,,,Mark Reijerse,nl,298107,
A,1,10,BRT,4,ffffff,050505,ff8100,Mark Harris,gb,12260,
A,1,10,,0,00dd00,,,Reilly Hall,us,593156,
A,1,8,,0,00dd00,,,Craig Knobovitch,ca,44688,
A,1,8,,0,00dd00,,,Koen Noyens,be,896600,
A,1,8,BRT,4,ffffff,050505,ff8100,oliver lucey,gb-eng,53314,silver
A,1,8,PSVZA,3752,ffffff,f78484,ffffff,Eugene Xrustalnij,md,178873,
A,1,8,Innovation,975,000000,52ff33,000000,Jarryd Else,za,169015,
A,1,8,TMC,2598,ffffff,0073b7,ffffff,Reg Bourge ,fr,615993,
A,1,8,,0,00dd00,,,Simon (El Gros) ,ca,855618,
A,1,6,,0,00dd00,,,John Hain OP-Coaching 2522,us,1053638,
A,1,6,BRT,4,ffffff,050505,ff8100,Ricardo Gon&ccedil;alves,pt,242978,bronze
A,1,6,,0,00dd00,,,Daniel Craggs5681,ca,911958,
A,1,6,,0,00dd00,,,Ian Fothergill ,gb,299072,
A,1,6,,0,00dd00,,,Robert Halfar,de,479093,
A,1,6,,0,00dd00,,,Jason Hewitt,gb,968012,
A,1,5,,0,00dd00,,,Bradfit412 (Bradley White),us,182021,
