category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums
A,4,93,BRT,4,ffffff,050505,ff8100,Chris Smith [BRT],gb-wls,15080,gold bronze
A,5,92,Hitchin Nomads,2722,ffffff,0073b7,ffffff,Patrick Allen HNCC,gb,869802,
A,3,76,Hitchin Nomads,2722,ffffff,0073b7,ffffff,Scott Horwood HNCC,gb,440567,
A,3,74,BRT,4,ffffff,050505,ff8100,Gerrie Scholtes &#128304;,nl,22315,bronze
A,2,68,,0,00dd00,,,John Hale,gb,315019,silver
A,2,66,BRT,4,ffffff,050505,ff8100,Bas Seldenrijk &#128076;,nl,274131,silver
A,2,65,BRT,4,ffffff,050505,ff8100,Neil Linford-Relph [BRT],gb,522589,gold bronze
A,3,62,BRT,4,ffffff,050505,ff8100,Adam Machan,gb,219813,
A,5,60,Groove SES,3003,ffffff,0073b7,ffffff,Kevin Selker,mx,696782,gold silver silver silver silver
A,2,52,BRT,4,ffffff,050505,ff8100,Guido van Grondelle,nl,204774,
A,3,43,BZR cycling team,35,f3f300,111111,dd4b39,Thijs Calu,be,203832,
A,2,40,BRT,4,ffffff,050505,ff8100,Aaron Barry&#9889;&#65039; [BRT],gb,743592,
A,2,38,Rowe & King,2298,ffffff,2b5bb8,2fba4e,Luke Dix,gb-wls,214249,
A,1,38,Team Poland,25,ffffff,ff1800,ff0000,Marcin Krzywonos,pl,308424,bronze
A,1,36,BRT,4,ffffff,050505,ff8100,Alastair Woodhead,,61154,
A,1,35,FUSION EVO,3185,ffffff,0a1e29,ffffff,Anders Moustgaard &#128304;,dk,771995,gold
A,1,35,,0,00dd00,,,Rudi Overmeire,eu,53049,gold
A,1,35,,0,00dd00,,,Quentin Goossens,be,246034,gold
A,1,35,,0,00dd00,,,Martin Lonie (Nuun Sigma Sports),,14866,gold
A,2,34,,0,00dd00,,,Yoshiaki Sakanoue,jp,54305,
A,1,32,Innovation,975,000000,52ff33,000000,Mark Gower &#128041;&#129372;,gb,88208,silver
A,1,32,FUSION ECT,2854,ffffff,000000,ffffff,Simon Nielsen &#128304;,dk,182972,silver
A,1,32,Innovation,975,000000,52ff33,000000,James Phillips,gb-wls,280522,silver
A,1,32, VEGAN ,1845,ffffff,00a65a,0adb2c,Max Powersimon &#9419;,de,19498,
A,1,30,Innovation,975,000000,52ff33,000000,Bob McGlue&#128009;,gb,129911,bronze
A,1,30,CLAN KNOX,3073,ffffff,000000,000000,G Gauthier    # CLAN KNOX ,ca,214653,bronze
A,1,30,,0,00dd00,,,Ola Klock,no,1106346,
A,1,30,BRT,4,ffffff,050505,ff8100,Stephen Parnwell,gb-eng,129149,bronze
A,1,28,,0,00dd00,,,John Hain OP-Coaching 2522,us,1053638,
A,7,27,Hitchin Nomads,2722,ffffff,0073b7,ffffff,John Curtin HNCC,gb,295910,
A,1,27,FUSION ECT,2854,ffffff,000000,ffffff,Claus Nielsen &#128304;,dk,595081,gold
A,1,27,,0,00dd00,,,Michael Hope,gb,151278,gold
A,2,26,Rowe & King,2298,ffffff,2b5bb8,2fba4e,Paul Hayward,gb-wls,6917,
A,1,26,Race3R,791,000000,2bc3f4,ffffff,Frazer White,gb-wls,202546,
A,1,26,ETG,2861,ffffff,0073b7,ffffff,Jeremy Perks,gb,3892,
A,1,26,#MDM,3106,ffffff,0073b7,ffffff,Michael Smith (Velomotion Bike Fit Studio),gb,109351,
A,1,26,BRT,4,ffffff,050505,ff8100,Sean Casson,gb,161615,
A,1,26,BZR cycling team,35,f3f300,111111,dd4b39,Gert Leus,be,7220,
A,1,26,,0,00dd00,,,Richard Mapley,gb,14671,
A,2,24,WECC,1992,ffffff,fa01ff,2102fe,gavin  ash &#128304;,gb,157370,
A,1,24,BRT,4,ffffff,050505,ff8100,Christian Moxon [BRT],gb,35037,silver
A,1,22,FUSION EVO,3185,ffffff,0a1e29,ffffff,Rasmus Hammer,dk,251242,
A,1,22,Vision,9,ffffff,2ea9e0,000000,Guillaume Belgy &#128304;,fr,74916,
A,1,22,DBR,1986,ffffff,eb7b2a,ffffff,frantz weitemeyer,dk,222041,
A,1,22,Team 63.8N,2936,ffffff,9a0606,000000,Anders Broberg,se,407765,
A,1,22,,0,00dd00,,,Erwin Schuit,nl,1004328,
A,1,22,TC15,3041,ea1010,000000,e81212,Matthieu Daud&eacute;,fr,919908,bronze
A,1,20,,0,00dd00,,,Alminde Virtu Travel,dk,903388,
A,1,20,BRT,4,ffffff,050505,ff8100,David Clarke,gb,398554,
A,1,20,BRT,4,ffffff,050505,ff8100,Simon Parry [BRT] ,gb,48422,
A,1,20,&Oslash;VB,1576,ffffff,0073b7,ffffff,Andy Sheret &Oslash;VB,gb,174184,
A,1,18,Utrecht,2233,ffffff,0073b7,ffffff,Eelco Keuvelaar,nl,547077,
A,1,18,,0,00dd00,,,G Middelberg,nl,337268,
A,1,18,Team CRYO-GEN,2740,ffffff,0073b7,ffffff,Jon Addison,gb,888010,
A,1,18,,0,00dd00,,,Delian Simov3723,us,555226,
A,1,18,VC Cycling,1872,ffffff,0073b7,ffffff,ALEX HOOKINS,gb,411646,
A,1,18,TeamQC,2176,384ce7,fdfeff,2d37d6,Luc Guilbeault,ca,212990,
