category,events,points,tname,tid,tc,tbc,tbd
A,31,622,BRT,4,ffffff,050505,ff8100
A,13,174,Hitchin Nomads,2722,ffffff,0073b7,ffffff
A,5,103,Innovation,975,000000,52ff33,000000
A,4,65,BZR cycling team,35,f3f300,111111,dd4b39
A,2,57,FUSION ECT,2854,ffffff,000000,ffffff
A,2,55,FUSION EVO,3185,ffffff,0a1e29,ffffff
A,2,54, VEGAN ,1845,ffffff,00a65a,0adb2c
A,3,49,Race3R,791,000000,2bc3f4,ffffff
A,3,41,Rowe & King,2298,ffffff,2b5bb8,2fba4e
A,2,40,Vision,9,ffffff,2ea9e0,000000
A,1,37,Team Poland,25,ffffff,ff1800,ff0000
A,1,29,CLAN KNOX,3073,ffffff,000000,000000
A,1,25,#MDM,3106,ffffff,0073b7,ffffff
A,1,25,ETG,2861,ffffff,0073b7,ffffff
A,2,22,WECC,1992,ffffff,fa01ff,2102fe
A,2,21,Team Italy,588,dd4b39,ffffff,00a65a
A,1,21,DBR,1986,ffffff,eb7b2a,ffffff
A,1,21,TC15,3041,ea1010,000000,e81212
A,1,21,Team 63.8N,2936,ffffff,9a0606,000000
A,1,19,&Oslash;VB,1576,ffffff,0073b7,ffffff
A,1,17,Utrecht,2233,ffffff,0073b7,ffffff
A,1,17,Team CRYO-GEN,2740,ffffff,0073b7,ffffff
A,1,17,TeamQC,2176,384ce7,fdfeff,2d37d6
A,1,15,Stages SuperCube,2488,ffffff,0073b7,ffffff
A,1,13,Outlaws R T,3308,fff7f7,000000,db1616
A,1,13,Zone5 Racing,415,ffffff,0073b7,ffffff
A,1,11,TeamNL,2281,ffffff,ffa500,ffa500
A,1,11,VC Cycling,1872,ffffff,0073b7,ffffff
A,1,11,Rodeo,761,ffffff,0073b7,ffffff
A,1,9,Maximus,290,ffffff,0073b7,ffffff
A,1,9,Merkea,755,ffffff,0073b7,ffffff
A,1,8,CDALECXW,2469,040303,3ffd40,040303
A,1,7,IRL,3369,ffffff,32968e,e66f1a
A,1,7,KISS RT,36,f56600,012350,84b7ca
A,1,5,_OneLove,1915,ffffff,f012be,f012be
A,1,5,Sz,32,f3f300,0073b7,f3f300
A,1,5,IBTC,2013,ffffff,0073b7,ffffff
A,1,5,Groove SES,3003,ffffff,0073b7,ffffff
A,1,4,KirchmairCycling,2991,210606,f2e80d,000103
A,1,4,Essex,3881,ffffff,cf142b,f7e017
A,1,3,RCC,265,fc2097,d2d6de,111111
A,1,2,STW,756,ffffff,0073b7,ffffff
B,63,1499,BRT,4,ffffff,050505,ff8100
B,4,199, VEGAN ,1845,ffffff,00a65a,0adb2c
B,6,166,Vikings,90,c2c2c2,0073b7,ee6331
B,3,157,SKLAR ,2879,ffffff,0073b7,ffffff
B,3,151,TNC,3938,ffffff,0073b7,ffffff
B,9,132,BZR cycling team,35,f3f300,111111,dd4b39
B,5,116,DBR,1986,ffffff,eb7b2a,ffffff
B,2,109,Groove SES,3003,ffffff,0073b7,ffffff
B,2,97,&Oslash;VB,1576,ffffff,0073b7,ffffff
B,2,93,Race3R,791,000000,2bc3f4,ffffff
B,3,93,Team CLS,1426,3d9970,ffffff,ffffff
B,4,88,Team Poland,25,ffffff,ff1800,ff0000
B,4,84,Hitchin Nomads,2722,ffffff,0073b7,ffffff
B,3,76,TeamNL,2281,ffffff,ffa500,ffa500
B,1,63,GTD,304,ffffff,0073b7,ffffff
B,1,55,Team C&E,2992,ffffff,0073b7,ffffff
B,2,52,TFC,10,111111,f3f300,111111
B,2,44,THL,3499,ffffff,0073b7,ffffff
B,1,43,HoH,2507,ffffff,0073b7,ffffff
B,1,43,Holmenkollen CK,3469,111e6c,f8dae5,111e6c
B,1,41,IRL,3369,ffffff,32968e,e66f1a
B,1,41,Team GIANT,3549,000000,f70000,000000
