category,zwid,events,points,league_id,pos,history,aid,zada,tname,tc,tbc,tbd,topen,fem,tid,reg,rank,name,flag
B,388475,7,133,59,1,2,388475,0,,00dd00,,,,,0,1,,"L. Saga",no
B,397176,7,126,59,2,,397176,0,BRT,ffffff,050505,ff8100,,,4,1,,"Barry Davis",gb
B,372647,5,121,59,3,1,372647,0,,00dd00,,,,,0,1,,"PA Persson",se
A,811341,8,85,59,1,1,811341,0,Vikings,c2c2c2,0073b7,ee6331,,,90,1,,"Maxim Golev [V]",no
B,217592,4,78,59,4,3,217592,0,,00dd00,,,,,0,1,,"Alan Davidson(Dundee Thistle)",gb-sct
B,130538,3,75,59,5,2,130538,0,"BZR cycling team",f3f300,111111,dd4b39,,,35,1,,"Wim Orban",be
A,249545,6,74,59,2,2,249545,0,BRT,ffffff,050505,ff8100,,,4,1,,"The Mig | YouTube",gr
B,471548,5,74,59,6,2,471548,0,"BZR cycling team",f3f300,111111,dd4b39,,,35,1,,"Filip Feyaerts",be
B,696782,3,73,59,7,2,696782,0," VEGAN ",ffffff,00a65a,0adb2c,,,1845,1,,"Kevin Selker",mx
B,183300,4,69,59,8,1,183300,0,,00dd00,,,,,0,1,,Shunts,au
B,295910,6,69,59,8,,295910,0,"Hitchin Nomads",ffffff,0073b7,ffffff,,,2722,1,,"John Curtin HNCC",gb
A,869802,6,65,59,3,3,869802,0,"Hitchin Nomads",ffffff,0073b7,ffffff,,,2722,1,,"Patrick Allen HNCC",gb
A,440567,6,64,59,4,3,440567,0,"Hitchin Nomads",ffffff,0073b7,ffffff,,,2722,1,,"Scott Horwood HNCC",gb
C,212161,5,57,59,1,1,212161,0,teamWKG,fa5e06,3f4c54,3f4c54,,,1330,1,,"Thomas Sevilä",se
B,550451,3,53,59,10,3,550451,0,"Walsall Lads",ffffff,0073b7,ffffff,,,2570,1,,"David Whitehouse (WRCC)",gb
B,498813,3,50,59,11,,498813,0,ZESP,000000,fabd00,ad1519,,,2146,1,,R.Aragón,es
B,59973,2,49,59,12,,59973,0,BRT,ffffff,050505,ff8100,,,4,1,,"Tom Comb",gb
