category,events,points,league_id,pos,history,tname,tc,tbc,tbd,tid,rank
B,36,502,59,1,3,"Bolt Race Team",ffffff,050505,ff8100,4,
C,21,239,59,1,2,"Bolt Race Team",ffffff,050505,ff8100,4,
A,34,238,59,1,3,"Bolt Race Team",ffffff,050505,ff8100,4,
B,13,215,59,2,2,"Belgian Zwift Ri",f3f300,111111,dd4b39,35,
B,15,173,59,3,,"Hitchin Nomads",ffffff,0073b7,ffffff,2722,
A,13,133,59,2,3,"Hitchin Nomads",ffffff,0073b7,ffffff,2722,
C,13,122,59,2,,"Hitchin Nomads",ffffff,0073b7,ffffff,2722,
C,12,115,59,3,1,"Team Poland",ffffff,dd4b39,ffffff,25,
B,11,113,59,4,3,Race3R,000000,2bc3f4,ffffff,791,
B,7,105,59,5,2,Vikings,c2c2c2,0073b7,ee6331,90,
B,8,105,59,5,,DanishBikeRiders,ffffff,eb7b2a,ffffff,1986,
A,11,101,59,3,1,Vikings,c2c2c2,0073b7,ee6331,90,
A,10,94,59,4,1,Innovation,ffffff,0073b7,ffffff,975,
A,9,86,59,5,2,Race3R,000000,2bc3f4,ffffff,791,
B,4,84,59,7,2," VEGAN",ffffff,00a65a,0adb2c,1845,
A,4,77,59,6,3,[DRAFT],ffffff,e60d2e,000000,1634,
B,6,76,59,8,2,"Team Poland",ffffff,dd4b39,ffffff,25,
B,4,68,59,9,1,ZRG,1bc1f1,5b5b5b,1bc1f1,1942,
A,6,64,59,7,3,"Team ZHR",ff0000,03228c,03228c,1979,
A,8,62,59,8,3,"Vision Cycling",ffffff,2ea9e0,000000,9,
B,5,58,59,10,2,"Team TFC",111111,f3f300,111111,10,
C,5,57,59,4,1,teamWKG,fa5e06,3f4c54,3f4c54,1330,
B,4,53,59,11,,"Zwift España",000000,fabd00,ad1519,2146,
B,3,53,59,11,3,"The Walsall Lads",ffffff,0073b7,ffffff,2570,
B,4,51,59,13,,TeamNL,ffffff,ffa500,ffa500,2281,
A,6,47,59,9,2,"Team SUI",ffffff,ff0017,ffffff,391,
B,6,46,59,14,,TPA,ffffff,0073b7,001100,1849,
A,4,45,59,10,3,"Team Poland",ffffff,dd4b39,ffffff,25,
C,3,44,59,5,3,"Team CRYO-GEN",ffffff,0073b7,ffffff,2740,
C,4,42,59,6,3,"Team CLS",3d9970,ffffff,ffffff,1426,
B,2,41,59,15,2,Innovation,ffffff,0073b7,ffffff,975,
A,3,39,59,11,2,"Belgian Zwift Ri",f3f300,111111,dd4b39,35,
A,5,39,59,11,1,"Team Italy",dd4b39,ffffff,00a65a,588,
A,3,37,59,13,2,Sz,f3f300,0073b7,f3f300,32,
C,3,37,59,7,1,DanishBikeRiders,ffffff,eb7b2a,ffffff,1986,
B,2,36,59,16,1,"Team Type 1",ffffff,0073b7,ffffff,168,
B,3,35,59,17,2,SZR,ffffff,0073b7,ffffff,111,
B,2,33,59,18,,HIK,ffffff,0073b7,ffffff,719,
B,3,32,59,19,2,"Team CLS",3d9970,ffffff,ffffff,1426,
B,3,32,59,19,,"C2C Crew",ffffff,46baf2,ff1e1e,2832,
B,1,31,59,21,2,"Tønsberg CK",ffffff,00a1e0,00a1e0,2422,
A,3,31,59,14,,Go4Graham,ffffff,0073b7,ffffff,3253,
B,1,30,59,22,2,"Vision Cycling",ffffff,2ea9e0,000000,9,
C,5,30,59,8,,"Team TFC",111111,f3f300,111111,10,
B,2,30,59,22,,STW,ffffff,0073b7,ffffff,756,
A,2,29,59,15,2,RuhrRiders,ff8700,000000,5cb0fc,41,
A,4,29,59,15,1,"FUSION ECT",ffffff,000000,ffffff,2854,
C,3,27,59,9,3,Vikings,c2c2c2,0073b7,ee6331,90,
B,2,27,59,24,,Cykelmagasinet,0f0f0f,36a7eb,0f0303,2127,
C,4,27,59,9,,DIRT,29ec34,563c0f,df6a0d,2707,
B,2,27,59,24,3,"Totis Viribus ZT",ffffff,212020,d93838,2887,
C,2,26,59,11,1,"Belgian Zwift Ri",f3f300,111111,dd4b39,35,
B,3,26,59,26,,"Team TriRun",ffffff,0073b7,ffffff,3261,
A,3,25,59,17,3,"FUSION EVO",ffffff,0a1e29,ffffff,3185,
B,2,24,59,27,,"Team Italy",dd4b39,ffffff,00a65a,588,
A,2,24,59,18,3,ZRG,1bc1f1,5b5b5b,1bc1f1,1942,
B,1,23,59,28,,KirchmairCycling,210606,f2e80d,000103,2991,
B,1,22,59,29,,"Team AHDR",fc6955,55d4fc,ffffff,629,
B,1,22,59,29,1,"VS CYCLES",ffffff,0073b7,ffffff,783,
A,1,22,59,19,1,OneLove,ffffff,f012be,f012be,1915,
B,1,21,59,31,,"KISS Racing Team",f56600,012350,84b7ca,36,
B,1,21,59,31,3,ZwiftoholixAnon.,3fff5e,545050,000000,2709,
C,2,21,59,12,2,WattFest,000000,228b22,32cd32,3093,
A,2,20,59,20,2,"Team X",f5f7f6,111111,00a65a,2,
A,1,20,59,20,,"SAKARI Race Team",001dff,46ff00,31b6fc,1187,
B,1,20,59,33,,"Team CyclingHub",f65000,00364a,ffffff,2635,
A,1,19,59,22,,TeamODZ,ff851b,111111,3c8dbc,7,
B,1,19,59,34,,Sz,f3f300,0073b7,f3f300,32,
B,1,19,59,34,,"Adv For The Cure",ff0000,000000,cc0000,1405,
A,2,19,59,22,3,DanishBikeRiders,ffffff,eb7b2a,ffffff,1986,
B,1,19,59,34,2,"New Forest CC",fcfcfc,d40707,14ab1a,2291,
B,1,19,59,34,1,"FUSION ECT",ffffff,000000,ffffff,2854,
C,1,19,59,13,3,"STRAVA Potsdam",00ffff,000000,cc0000,2964,
B,1,19,59,34,,"Saturday Surrey",ffffff,0197ff,757575,3203,
B,1,18,59,39,,"KSD Racing",ffffff,0073b7,ffffff,572,
A,2,18,59,24,,FinishStrong,ffffff,0073b7,ffffff,1740,
B,3,18,59,39,,"Team ZHR",ff0000,03228c,03228c,1979,
B,1,18,59,39,,"Team Portugal",ffffff,ff1f00,33735b,2466,
C,2,18,59,14,1,Everyvelo,ffffff,050000,807f7f,2533,
B,1,18,59,39,,"Athy Wheelers",ffffff,0000ff,ff55b4,3092,
B,1,17,59,43,,"Korte HammerDown",f6fa45,0a0a0a,f72508,2179,
D,5,17,59,1,1,"Hitchin Nomads",ffffff,0073b7,ffffff,2722,
A,2,17,59,25,,"Team CRYO-GEN",ffffff,0073b7,ffffff,2740,
B,1,17,59,43,,BRC,ff0303,0073b7,ffffff,2902,
B,2,17,59,43,,"Team Christianse",ffffff,0073b7,ffffff,2992,
C,1,16,59,15,2,GRB17,ffffff,0073b7,ffffff,790,
C,1,16,59,15,1,RBR,ffffff,0073b7,ffffff,2200,
A,1,16,59,26,2,"Team Portugal",ffffff,ff1f00,33735b,2466,
B,3,16,59,46,2,DIRT,29ec34,563c0f,df6a0d,2707,
A,1,16,59,26,,"UniSki Club KIEL",ffffff,006ffa,f71010,2845,
B,1,16,59,46,,"Team KST",ffffff,0073b7,ffffff,3052,
B,1,15,59,48,,"DIMB RacingTeam",ffffff,0073b7,ffffff,1650,
A,1,15,59,28,,"Team SLOVENIA",ffffff,95c447,ffffff,1963,
A,1,15,59,28,,"VC Meudon",ffffff,0073b7,ffffff,2038,
B,2,15,59,48,2,"Kaliningrad team",0073b7,ffffff,0073b7,2163,
A,1,15,59,28,3,"Team CyclingHub",f65000,00364a,ffffff,2635,
B,1,15,59,48,,VC10,ffffff,ff0000,ffffff,2888,
B,1,15,59,48,,C.E.Rayoteam,ffffff,0073b7,ffffff,3099,
C,1,14,59,17,1,"KISS Racing Team",f56600,012350,84b7ca,36,
A,1,14,59,31,3,"Radteam Leoben",ffffff,8bd600,0190c8,1911,
C,1,14,59,17,,"Team Utrecht",ffffff,0073b7,ffffff,2233,
C,3,14,59,17,,TeamNL,ffffff,ffa500,ffa500,2281,
B,1,14,59,52,,"SMC - ren motion",ffffff,0073b7,ffffff,2460,
B,1,14,59,52,,"Team MDM",ffffff,0073b7,ffffff,3106,
C,2,14,59,17,3,SpeedVille.de,ffffff,14ba14,ffffff,3190,
C,1,13,59,21,,Innovation,ffffff,0073b7,ffffff,975,
D,2,13,59,2,1,"Velocity V/F",7409a6,f79d4b,ffffff,1940,
A,1,13,59,32,1,"Athletic Mentors",ffffff,0073b7,ffffff,2065,
A,1,13,59,32,,"Zwift España",000000,fabd00,ad1519,2146,
C,1,13,59,21,1,"Yorkshire Racing",ffff00,0094ff,01b7a8,2394,
A,1,13,59,32,,Vodka,ffffff,0073b7,ffffff,3326,
A,1,12,59,35,,"KISS Racing Team",f56600,012350,84b7ca,36,
A,1,12,59,35,,"Maximum Thrust",040312,9cb2e8,d4e60d,120,
B,1,12,59,54,,MDCC,ffffff,0073b7,ffffff,843,
B,1,12,59,54,,"ZOSS VOG Cycling",ffffff,000000,ffffff,2153,
A,1,12,59,35,2,"Danish eCyclingC",ffffff,0073b7,ffffff,2468,
C,1,12,59,23,,"SW Ontario Zwift",ffffff,0073b7,ffffff,2971,
C,1,12,59,23,1,"East Coast Zwift",fffdfd,0073b7,ffb700,3107,
B,1,12,59,54,,"Harlev Road Cycl",ffffff,000000,fa3636,3165,
B,1,11,59,57,,"TEAM FSK",ffffff,0073b7,ffffff,103,
B,1,11,59,57,2,CTWT,ffffff,0073b7,ffffff,632,
A,1,11,59,38,3,"CK Lunedi",ffffff,0073b7,ffffff,709,
B,2,11,59,57,,CyclingMythology,ffffff,0073b7,ffffff,2807,
B,1,11,59,57,,"Sklar Race Team",ffffff,0073b7,ffffff,2879,
B,1,10,59,61,,CycleChat,ffffff,0073b7,ffffff,1458,
A,1,10,59,39,," VEGAN",ffffff,00a65a,0adb2c,1845,
B,1,10,59,61,1,"Washed Up Racing",080707,73fc08,ffffff,2216,
A,2,10,59,39,,TeamNL,ffffff,ffa500,ffa500,2281,
B,1,10,59,61,,"Sky Limits",26c4ec,ffffff,000000,2872,
C,1,10,59,25,,"Totis Viribus ZT",ffffff,212020,d93838,2887,
A,1,10,59,39,,BOXFISH,ffffff,0073b7,ffffff,2943,
B,2,9,59,64,,RuhrRiders,ff8700,000000,5cb0fc,41,
C,1,9,59,26,,"Hisingens CK",ffffff,0073b7,ffffff,116,
A,1,9,59,42,,"VS CYCLES",ffffff,0073b7,ffffff,783,
A,1,9,59,42,,"Team CLS",3d9970,ffffff,ffffff,1426,
C,1,9,59,26,,ZRG,1bc1f1,5b5b5b,1bc1f1,1942,
B,1,9,59,64,,"Yorkshire Racing",ffff00,0094ff,01b7a8,2394,
B,2,9,59,64,,WattFest,000000,228b22,32cd32,3093,
B,1,8,59,67,,"Oroloko Team",ffffff,0073b7,ffffff,1892,
