category,zwid,events,points,league_id,pos,history,aid,zada,tname,tc,tbc,tbd,topen,fem,tid,reg,rank,name,flag
B,471548,5,74,54,1,2,471548,0,"BZR cycling team",f3f300,111111,dd4b39,,,35,1,,"Filip Feyaerts",be
B,183300,4,69,54,2,1,183300,0,,00dd00,,,,,0,1,,Shunts,au
C,212161,5,57,54,1,1,212161,0,teamWKG,fa5e06,3f4c54,3f4c54,,,1330,1,,"Thomas Sevilä",se
B,550451,3,53,54,3,3,550451,0,"Walsall Lads",ffffff,0073b7,ffffff,,,2570,1,,"David Whitehouse (WRCC)",gb
A,74838,4,46,54,1,3,74838,0,ZHR,ff0000,03228c,03228c,,,1979,1,,"Luc  Louis Seize 9877",ca
A,78992,4,46,54,1,,78992,0,Race3R,000000,2bc3f4,ffffff,,,791,1,,"Jero Nefkens",nl
C,30856,6,37,54,2,2,30856,0,BRT,ffffff,050505,ff8100,,,4,1,,"Darren Green (BRT) - Team Zwatt",gb-eng
B,108873,2,36,54,4,2,108873,0,,00dd00,,,,,0,1,,"Gregor Kovac B",si
A,70690,3,34,54,3,2,70690,0,Innovation,ffffff,0073b7,ffffff,,,975,1,,"Mark Shaw",nz
B,917297,2,33,54,5,,917297,0,"Team Poland",ffffff,dd4b39,ffffff,,,25,1,,"J Sullivan",pl
B,388475,2,32,54,6,,388475,0,,00dd00,,,,,0,1,,"L. Saga",no
B,303556,3,31,54,7,1,303556,0,,00dd00,,,,,0,1,,"Martijn Van B Team Maaskant",nl
A,894741,5,31,54,4,,894741,0,,00dd00,,,,,0,1,,"Keith Robertson ",gb
B,745275,5,28,54,8,,745275,0,BRT,ffffff,050505,ff8100,,,4,1,,"Paul Hutchin",gb
B,303397,1,27,54,9,1,303397,0,,00dd00,,,,,0,1,,"Gerbert van den Biggelaar",nl
B,40108,2,26,54,10,,40108,0,BRT,ffffff,050505,ff8100,,,4,1,,"Peter Campbell",gb-eng
B,183605,1,25,54,11,3,183605,0,Vikings,c2c2c2,0073b7,ee6331,,,90,1,,"Espen Solvin",no
B,257132,2,24,54,12,,257132,0,C2C,ffffff,46baf2,ff1e1e,,,2832,1,,"Martin Hopper",gb
B,902451,1,24,54,12,,902451,0,,00dd00,,,,,0,1,,"Peter Holzmann",at
A,61415,1,23,54,5,1,61415,0,[DRAFT],ffffff,e60d2e,000000,,,1634,1,,"Scott Cunningham 🐗",us
B,888434,1,23,54,14,,888434,0,TeamNL,ffffff,ffa500,ffa500,,,2281,1,,"Domrenner Mercurius",nl
A,7915,1,22,54,6,2,7915,0,[DRAFT],ffffff,e60d2e,000000,,,1634,1,,"Adam Zimmerman 🐆",us
B,247818,1,22,54,15,1,247818,0,"VS CYCLES",ffffff,0073b7,ffffff,,,783,1,,"Paul Waddington",gb
B,737762,3,22,54,15,,737762,0,,00dd00,,,,,0,1,,"Tom Waddell",gb
B,22203,1,21,54,17,1,22203,0,,00dd00,,,,,0,1,,"Matt Hallett",gb
B,49294,1,21,54,17,,49294,0,"KISS RT",f56600,012350,84b7ca,,,36,1,,"Sonic The Hedgehog",gb
A,101396,1,21,54,7,3,101396,0,[DRAFT],ffffff,e60d2e,000000,,,1634,1,,"Ryan  Giuliano 🐲",us
B,259228,1,21,54,17,2,259228,0,Innovation,ffffff,0073b7,ffffff,,,975,1,,"Benjamin Berthelsen",dk
B,302498,1,21,54,17,3,302498,0,,00dd00,,,,,0,1,,"Alexandre Filiatrault",ca
