category,events,points,league_id,pos,history,tname,tc,tbc,tbd,tid,rank
B,11,87,54,1,3,"Bolt Race Team",ffffff,050505,ff8100,4,
B,6,84,54,2,2,"Belgian Zwift Ri",f3f300,111111,dd4b39,35,
A,4,77,54,1,3,[DRAFT],ffffff,e60d2e,000000,1634,
A,6,63,54,2,1,Innovation,ffffff,0073b7,ffffff,975,
A,5,62,54,3,3,"Team ZHR",ff0000,03228c,03228c,1979,
C,5,57,54,1,1,teamWKG,fa5e06,3f4c54,3f4c54,1330,
C,8,56,54,2,3,"Bolt Race Team",ffffff,050505,ff8100,4,
B,4,55,54,3,2,Vikings,c2c2c2,0073b7,ee6331,90,
B,3,53,54,4,3,"The Walsall Lads",ffffff,0073b7,ffffff,2570,
B,3,48,54,5,,"Team Poland",ffffff,dd4b39,ffffff,25,
A,4,46,54,4,,Race3R,000000,2bc3f4,ffffff,791,
B,3,32,54,6,,"C2C Crew",ffffff,46baf2,ff1e1e,2832,
C,4,29,54,3,1,"Team Poland",ffffff,dd4b39,ffffff,25,
A,4,26,54,5,2,"Bolt Race Team",ffffff,050505,ff8100,4,
C,3,24,54,4,,DIRT,29ec34,563c0f,df6a0d,2707,
B,1,23,54,7,,TeamNL,ffffff,ffa500,ffa500,2281,
B,1,22,54,8,1,"VS CYCLES",ffffff,0073b7,ffffff,783,
B,1,21,54,9,2,Innovation,ffffff,0073b7,ffffff,975,
B,1,21,54,9,,"KISS Racing Team",f56600,012350,84b7ca,36,
A,1,20,54,6,,"SAKARI Race Team",001dff,46ff00,31b6fc,1187,
B,1,19,54,11,,"Adv For The Cure",ff0000,000000,cc0000,1405,
A,1,19,54,7,,TeamODZ,ff851b,111111,3c8dbc,7,
B,1,19,54,11,,Sz,f3f300,0073b7,f3f300,32,
A,3,19,54,7,2,Vikings,c2c2c2,0073b7,ee6331,90,
B,1,18,54,13,,"KSD Racing",ffffff,0073b7,ffffff,572,
B,1,18,54,13,,ZRG,1bc1f1,5b5b5b,1bc1f1,1942,
A,2,18,54,9,,FinishStrong,ffffff,0073b7,ffffff,1740,
B,1,17,54,15,,"Korte HammerDown",f6fa45,0a0a0a,f72508,2179,
B,2,16,54,16,,Race3R,000000,2bc3f4,ffffff,791,
B,1,15,54,17,,VC10,ffffff,ff0000,ffffff,2888,
A,1,15,54,10,,Go4Graham,ffffff,0073b7,ffffff,3253,
A,1,15,54,10,2,RuhrRiders,ff8700,000000,5cb0fc,41,
A,1,14,54,12,3,"Radteam Leoben",ffffff,8bd600,0190c8,1911,
A,1,13,54,13,,"Zwift España",000000,fabd00,ad1519,2146,
C,1,13,54,5,1,"Yorkshire Racing",ffff00,0094ff,01b7a8,2394,
A,1,13,54,13,1,"Athletic Mentors",ffffff,0073b7,ffffff,2065,
D,2,13,54,1,1,"Velocity V/F",7409a6,f79d4b,ffffff,1940,
A,1,12,54,15,2,Sz,f3f300,0073b7,f3f300,32,
B,1,12,54,18,,"Harlev Road Cycl",ffffff,000000,fa3636,3165,
B,1,11,54,19,," VEGAN",ffffff,00a65a,0adb2c,1845,
B,2,11,54,19,,CyclingMythology,ffffff,0073b7,ffffff,2807,
A,1,11,54,16,3,"CK Lunedi",ffffff,0073b7,ffffff,709,
C,1,10,54,6,1,Vikings,c2c2c2,0073b7,ee6331,90,
B,1,10,54,21,1,"Washed Up Racing",080707,73fc08,ffffff,2216,
C,3,10,54,6,,"Team TFC",111111,f3f300,111111,10,
B,1,10,54,21,,"Sky Limits",26c4ec,ffffff,000000,2872,
A,1,9,54,17,,"VS CYCLES",ffffff,0073b7,ffffff,783,
B,1,9,54,23,,"Yorkshire Racing",ffff00,0094ff,01b7a8,2394,
B,1,9,54,23,,DanishBikeRiders,ffffff,eb7b2a,ffffff,1986,
A,2,8,54,18,3,"Trondheim Tri",ea1c20,ffffff,090909,2304,
D,1,7,54,2,1,"Je Zwift QC",ffffff,003399,ffffff,2571,
A,1,7,54,19,,"Vision Cycling",ffffff,2ea9e0,000000,9,
C,1,6,54,8,,Beet-It,0dfff0,870c0c,8fd6d6,1983,
A,1,6,54,20,,TOMBC,ffffff,0073b7,ffffff,658,
B,1,6,54,25,,"Team YYJ Power",ffffff,0d0303,ff0000,2994,
D,1,5,54,3,3,"Team Ann Arbor",e2f508,152fba,ffffff,2030,
C,1,5,54,9,,"Team Brasil",ffffff,0073b7,ffffff,605,
A,1,5,54,21,,"Team SUI",ffffff,ff0017,ffffff,391,
D,1,4,54,4,1,DanishBikeRiders,ffffff,eb7b2a,ffffff,1986,
A,1,4,54,22,,teamWKG,fa5e06,3f4c54,3f4c54,1330,
B,1,4,54,26,,HIK,ffffff,0073b7,ffffff,719,
C,1,4,54,10,,SZR,ffffff,0073b7,ffffff,111,
B,1,3,54,27,,"Team BDC",fdfdfc,7d7b7b,f38907,2092,
A,1,3,54,23,,"LaPrima Espresso",ffffff,0b1838,ff69b4,2586,
B,1,3,54,27,,"Team TriRun",ffffff,0073b7,ffffff,3261,
B,1,1,54,29,,"Kaliningrad team",0073b7,ffffff,0073b7,2163,
