Location
Anchorage, Alaska, USA
Galway, Ireland
Jyväskylä, Finland
Cannock, Staffordshire, UK
Bolton, Manchester, UK
Kingsley Holt, Staffordshire, UK
Essendon, Hertfordshire, UK
Alta, Norway
Ciudad Juárez, Chihuahua, Mexico
Warwick, Warwickshire, UK
Waterloo, IL, USA
Sudbury, Suffolk, UK
St John, USVI
Wolverhampton, West Midlands, UK
Aberdeen, Scotland, UK
Palmerston North, New Zealand
West Linton, Scottish Borders, UK
Edmonton, Alberta, Canada
Willow Creek, California, USA
Wellington, New Zealand
Pocatello, ID, USA
Virginia Beach, Virginia, USA
Vancouver Island, British Columbia, Canada
Boulder, CO, USA
London, UK
Gloucester, Gloucestershire, UK
Boulder, Colorado, USA
Upper Hutt, Wellington, New Zealand
Leeds, West Yorkshire, United Kingdom
Adelaide, South Australia, Australia
Milford Haven, Pembrokshire, Wales
Invercargill, Southland, New Zealand
