category,events,points,tid,tname,tc,tbc,tbd
A,2,00:49:59.4,1405,AFC,ff0000,000000,cc0000
A,2,+00:47.0,791,Race3R,000000,2bc3f4,ffffff
A,2,+02:04.8,2707,DIRT,29ec34,563c0f,df6a0d
B,2,+00:04.2,2779,FINESSE,f7f915,0ccaff,00a8d6
B,2,+00:04.8,2740,Team CRYO-GEN,ffffff,0073b7,ffffff
B,2,+00:13.6,4,BRT,ffffff,050505,ff8100
B,2,+02:34.2,1528,HPP,bf0101,ffffff,bf0101
B,2,+02:34.9,1940,Vixen/Fox,7409a6,f79d4b,ffffff
B,2,+02:35.7,2707,DIRT,29ec34,563c0f,df6a0d
B,2,+02:58.8,2146,ZESP,000000,fabd00,ad1519
B,4,+03:45.1,5133,BOBR,ffffff,0073b7,ffffff
C,2,+00:16.8,265,RCC,fc2097,d2d6de,111111
C,2,+05:02.8,2707,DIRT,29ec34,563c0f,df6a0d
D,2,+05:58.7,25,TeamPL,ffffff,ff1800,ff0000
D,2,+12:34.1,2672,REVO,fc00e3,000000,fc00e3
