category,events,points,tid,tname,tc,tbc,tbd
A,1,00:06:22.4,1405,AFC,ff0000,000000,cc0000
A,1,+00:08.1,4612,Blarney CC,f5eeee,e61313,241818
A,2,+00:11.1,791,Race3R,000000,2bc3f4,ffffff
A,3,+00:14.4,2991,KIRCHMAIR e-Cycling,210606,f2e80d,000103
A,1,+00:15.0,9,Vision,ffffff,2ea9e0,000000
A,9,+00:19.1,4,BRT,ffffff,050505,ff8100
A,1,+00:19.7,2466,TugaZRT,ffffff,ff1f00,33735b
A,1,+00:30.5,629,Team AHDR,fc6955,55d4fc,ffffff
A,1,+00:38.2,2281,TeamNL,ffffff,ffa500,ffa500
A,1,+00:43.6,2054,ZJRT,ac1d88,0073b7,cdac1f
A,1,+00:43.9,36,KISS RT,f56600,012350,84b7ca
A,2,+00:46.6,10,TFC,111111,f3f300,111111
A,1,+00:46.9,2570,Walsall Lads,ffffff,0073b7,ffffff
A,1,+00:51.8,1940,Vixen/Fox,7409a6,f79d4b,ffffff
A,1,+00:53.6,35,BZR cycling team,f3f300,111111,dd4b39
A,1,+00:56.0,2707,DIRT,29ec34,563c0f,df6a0d
A,1,+00:56.5,4185,100miles,000000,ffff00,009900
A,1,+01:09.8,5032,VCRT,fccb5a,2d009e,f521f5
B,2,00:06:47.1,4612,Blarney CC,f5eeee,e61313,241818
B,1,+00:05.3,3003,Groove SES,ffffff,0073b7,ffffff
B,1,+00:05.8,2707,DIRT,29ec34,563c0f,df6a0d
B,2,+00:11.5,1330,teamWKG,fa5e06,3f4c54,3f4c54
B,12,+00:17.4,4,BRT,ffffff,050505,ff8100
B,1,+00:18.1,41,RuhrRiders,ff8700,000000,5cb0fc
B,2,+00:20.3,1942,ZRG,1bc1f1,3d3d3d,1bc1f1
B,1,+00:22.8,588,Team Italy,dd4b39,ffffff,00a65a
B,1,+00:23.9,1979,ZHR,ff0000,03228c,03228c
B,1,+00:24.4,1940,Vixen/Fox,7409a6,f79d4b,ffffff
B,1,+00:30.5,2163,KLD,ffffff,3cbebe,269898
B,1,+00:35.9,10,TFC,111111,f3f300,111111
B,1,+00:36.6,32,Sz,f3f300,0073b7,f3f300
B,4,+00:37.4,2740,Team CRYO-GEN,ffffff,0073b7,ffffff
B,1,+00:38.0,2779,FINESSE,f7f915,0ccaff,00a8d6
B,2,+00:44.2,1986,DBR,ffffff,eb7b2a,ffffff
B,1,+00:46.9,629,Team AHDR,fc6955,55d4fc,ffffff
B,1,+00:47.7,2281,TeamNL,ffffff,ffa500,ffa500
B,1,+00:48.0,2146,ZESP,000000,fabd00,ad1519
B,1,+01:03.9,3440,CPC,ff0404,ffff00,000000
B,1,+01:06.8,3093,WattFest,000000,228b22,32cd32
B,1,+01:13.6,5082,Putters,ffffff,070808,f74949
C,1,00:07:26.8,4085,CWA LLP,ffffff,0073b7,ffffff
C,1,+00:02.7,41,RuhrRiders,ff8700,000000,5cb0fc
C,9,+00:21.8,4,BRT,ffffff,050505,ff8100
C,1,+00:25.7,265,RCC,fc2097,d2d6de,111111
C,2,+00:26.6,2740,Team CRYO-GEN,ffffff,0073b7,ffffff
C,1,+00:33.2,168,Team Type 1,ffffff,0073b7,ffffff
C,5,+00:36.5,2707,DIRT,29ec34,563c0f,df6a0d
C,1,+00:42.6,79,USMES,ffffff,0073b7,ffffff
C,1,+01:04.4,2709,ZOA,3fff5e,545050,000000
C,1,+01:36.0,2991,KIRCHMAIR e-Cycling,210606,f2e80d,000103
C,1,+02:10.4,2231,V I E T V E L O,ff0000,ffe600,ff0000
C,1,+02:39.9,35,BZR cycling team,f3f300,111111,dd4b39
C,1,+02:40.3,25,TeamPL,ffffff,ff1800,ff0000
D,1,00:09:19.6,2740,Team CRYO-GEN,ffffff,0073b7,ffffff
D,1,+00:47.2,1986,DBR,ffffff,eb7b2a,ffffff
D,1,+02:32.8,4,BRT,ffffff,050505,ff8100
D,1,+02:50.5,2672,REVO,fc00e3,000000,fc00e3
