category,zwid,events,points,league_id,pos,history,aid,zada,tname,tc,tbc,tbd,topen,fem,tid,reg,rank,name,flag
B,217592,4,78,51,1,3,217592,0,,00dd00,,,,,0,1,,"Alan Davidson(Dundee Thistle)",gb-sct
A,811341,5,61,51,1,1,811341,0,Vikings,c2c2c2,0073b7,ee6331,,,90,1,,"Maxim Golev [V]",no
A,249545,5,57,51,2,2,249545,0,BRT,ffffff,050505,ff8100,,,4,1,,"The Mig | YouTube",gr
B,50735,6,46,51,2,,50735,0,TPA,ffffff,0073b7,001100,,,1849,1,,"Paddyatrick Adams",gb
B,923151,2,38,51,3,,923151,0,,00dd00,,,,,0,1,,"Jason Leech ZHR B",ie
B,496345,2,36,51,4,1,496345,0,BRT,ffffff,050505,ff8100,,,4,1,,"Alexander Chatzakis ⚡️| 🏊🏽‍🚴🏽‍🏃🏽70.3| 🇳🇱🇬🇷",gr
B,744714,2,36,51,4,1,744714,0,"Team Type 1",ffffff,0073b7,ffffff,,,168,1,,"James Bailey TT1",gb
B,157534,2,35,51,6,,157534,0,,00dd00,,,,,0,1,,"Jim Timmer-Arends",au
B,482773,3,35,51,6,,482773,0,,00dd00,,,,,0,1,,"David Sharp",gb
A,419921,4,34,51,3,,419921,0,,00dd00,,,,,0,1,,"Marcel Schubert",de
B,652272,5,32,51,8,,652272,0,BRT,ffffff,050505,ff8100,,,4,1,,"Francisco Arce BRT",za
B,474223,2,30,51,9,3,474223,0,,00dd00,,,,,0,1,,"Phillip Morrison",ca
B,65133,2,27,51,10,3,65133,0,TVZT,ffffff,212020,d93838,,,2887,1,,"Kevin Baumber",gb
A,299246,2,27,51,4,,299246,0,,00dd00,,,,,0,1,,"Seb Kleb",de
B,660464,2,27,51,10,3,660464,0,"BZR cycling team",f3f300,111111,dd4b39,,,35,1,,"Werner Loos ",be
B,53049,1,26,51,12,1,53049,0,,00dd00,,,,,0,1,,"Rudi Overmeire",eu
A,595182,2,26,51,5,,595182,0,,00dd00,,,,,0,1,,"Robi Marič",si
B,130538,1,25,51,13,2,130538,0,"BZR cycling team",f3f300,111111,dd4b39,,,35,1,,"Wim Orban",be
C,907462,3,25,51,1,1,907462,0,,00dd00,,,,,0,1,,M.Koo,nl
B,171186,1,23,51,14,,171186,0,CYKELMAGASINET,0f0f0f,36a7eb,0f0303,,,2127,1,,"Morten P (Gentofte CC)",dk
A,2021,2,22,51,6,1,2021,0,,00dd00,,,,,0,1,,"Wouter Sybrandy",nl
B,261595,1,22,51,15,,261595,0,,00dd00,,,,,0,1,,"Andreas Cicerale",de
B,606829,2,21,51,16,,606829,0,,00dd00,,,,,0,1,,"Richard Cawthraw",gb
B,122908,4,20,51,17,,122908,0,,00dd00,,,,,0,1,,"Stuart Blackburn",gb-eng
B,9079,1,19,51,18,2,9079,0,NFCC,fcfcfc,d40707,14ab1a,,,2291,1,,"Stewart Ward",gb
B,66410,1,19,51,18,3,66410,0,,00dd00,,,,,0,1,,"Øystein Løvholt",no
B,91269,3,19,51,18,,91269,0,Race3R,000000,2bc3f4,ffffff,,,791,1,,"Jason Feltus🐹 RaceWBR ",gb
B,519378,1,18,51,21,,519378,0,,00dd00,,,,,0,1,,"Chris S",de
C,566517,2,18,51,2,2,566517,0,,00dd00,,,,,0,1,,"Jez  Willows4744",gb
B,54086,1,17,51,22,,54086,0,,00dd00,,,,,0,1,,"Markus Lihnell",se
B,98488,1,17,51,22,,98488,0,BRT,ffffff,050505,ff8100,,,4,1,,"Ryan Lawman ",gb
B,120080,1,17,51,22,,120080,0,"TriRun ",ffffff,0073b7,ffffff,,,3261,1,,"Stephan Selinger",at
C,943965,2,17,51,3,2,943965,0,,00dd00,,,,,0,1,,"Christoph Balke",de
B,154946,1,16,51,25,,154946,0,,00dd00,,,,,0,1,,"Roel Goossens",nl
A,179435,1,16,51,7,3,179435,0,,00dd00,,,,,0,1,,"Zdenek Mejzlik",cz
B,425380,2,16,51,25,,425380,0,,00dd00,,,,,0,1,,"Marc Hancock",gg
B,486350,1,16,51,25,2,486350,0,"Team Poland",ffffff,dd4b39,ffffff,,,25,1,,"Jakub Stawowy",pl
B,679255,1,16,51,25,,679255,0,ZRG,1bc1f1,5b5b5b,1bc1f1,,,1942,1,,"Achim Buhse",de
B,935897,1,16,51,25,1,935897,0,Vikings,c2c2c2,0073b7,ee6331,,,90,1,,"Lasse Bjerkan",no
A,1697,1,15,51,8,3,1697,0,,00dd00,,,,,0,1,,"David Janes Wheels of Dorset 6462",gb
B,43941,1,15,51,30,1,43941,0,,00dd00,,,,,0,1,,"Jan Schütt",de
A,53921,1,15,51,8,,53921,0,,00dd00,,,,,0,1,,"il pinguino",gb
B,214359,1,15,51,30,,214359,0,"DIMB ",ffffff,0073b7,ffffff,,,1650,1,,"Jens 74",de
A,286100,1,15,51,8,1,286100,0,Vision,ffffff,2ea9e0,000000,,,9,1,,"Tommi Martikainen",fi
B,435664,1,15,51,30,,435664,0,,00dd00,,,,,0,1,,"Ivar Bjørdal",no
B,447202,1,15,51,30,,447202,0,"Triathlon team",ffffff,0073b7,ffffff,,,3099,1,,"Marc Marin226ers",zw
B,36050,1,14,51,34,,36050,0,Vikings,c2c2c2,0073b7,ee6331,,,90,1,,"Vegard Thomassen [V]",no
A,72967,1,14,51,11,2,72967,0,ZRG,1bc1f1,5b5b5b,1bc1f1,,,1942,1,,"Carsten Künsken",de
B,100901,1,14,51,34,,100901,0,"Team TFC Racing",111111,f3f300,111111,,,10,1,,"Andrew Robinson TFC Racing",gb
B,130597,1,14,51,34,2,130597,0,KLD,0073b7,ffffff,0073b7,,,2163,1,,"Dmitryi damynk",ru
B,822214,1,14,51,34,,822214,0,,00dd00,,,,,0,1,,"Steve Shrubsall",gb
B,195440,1,13,51,38,,195440,0,BRT,ffffff,050505,ff8100,,,4,1,,"M. Mageean [BRT]",gb-nir
B,241461,2,13,51,38,,241461,0,,00dd00,,,,,0,1,,"Benson Hetu14618705",ca
B,288521,1,13,51,38,2,288521,0,,00dd00,,,,,0,1,,"Olav Opdal",no
B,502399,1,13,51,38,,502399,0,,00dd00,,,,,0,1,,"Martin Jansky ",cz
B,517662,1,13,51,38,3,517662,0,Race3R,000000,2bc3f4,ffffff,,,791,1,,"Jason Smith RACEWBR",gb
B,538337,1,13,51,38,,538337,0,DBR,ffffff,eb7b2a,ffffff,,,1986,1,,"Johnny Kjærgaard DBR",dk
B,921790,1,13,51,38,,921790,0,,00dd00,,,,,0,1,,"Diego de Freitas",fr
B,45717,1,12,51,45,,45717,0,,00dd00,,,,,0,1,,"Graham Campbell",
A,53043,1,12,51,12,2,53043,0,DeCC,ffffff,0073b7,ffffff,,,2468,1,,"Jacob Skovsgaard",dk
B,63446,1,12,51,45,,63446,0,,00dd00,,,,,0,1,,"Jan Jensik",cz
B,79648,1,12,51,45,,79648,0,DBR,ffffff,eb7b2a,ffffff,,,1986,1,,"Christian Mogensen",dk
A,95589,1,12,51,12,,95589,0,Innovation,ffffff,0073b7,ffffff,,,975,1,,"Rob Wood",gb
B,215976,1,12,51,45,,215976,0,,00dd00,,,,,0,1,,"Adam Karlsson",se
A,519597,1,12,51,12,,519597,0,MTCT,040312,9cb2e8,d4e60d,,,120,1,,"Bernhard Gschaider",at
A,79239,1,11,51,15,2,79239,0,,00dd00,,,,,0,1,,"Igor Kopse",si
B,170575,1,11,51,49,,170575,0,,00dd00,,,,,0,1,,"Colin Smith",
B,182714,1,11,51,49,,182714,0,"TEAM FSK",ffffff,0073b7,ffffff,,,103,1,,"Håvard Eikemo",no
B,200018,1,11,51,49,,200018,0,,00dd00,,,,,0,1,,"Chris Pope",gb
C,254881,1,11,51,4,3,254881,0,Vikings,c2c2c2,0073b7,ee6331,,,90,1,,"Geir Nicolai Nilsen",no
A,407109,1,11,51,15,,407109,0,,00dd00,,,,,0,1,,"Gleb Legostaev",ru
B,437057,1,11,51,49,,437057,0,,00dd00,,,,,0,1,,"Karol Kwapiński",pl
A,448426,1,11,51,15,3,448426,0,"Team Poland",ffffff,dd4b39,ffffff,,,25,1,,"Marc Waldemar [TeamPL] ",pl
B,479649,1,11,51,49,,479649,0,,00dd00,,,,,0,1,,"Aaron  Demortier",be
B,598492,1,11,51,49,,598492,0,,00dd00,,,,,0,1,,"Martin Söderman",se
A,706590,5,11,51,15,,706590,0,BRT,ffffff,050505,ff8100,,,4,1,,"Dave Dawkins ZHR",gb-eng
A,77016,1,10,51,19,,77016,0,"Team SUI",ffffff,ff0017,ffffff,,,391,1,,"Rene Mrazek",ch
A,152802,1,10,51,19,,152802,0,BOXFISH,ffffff,0073b7,ffffff,,,2943,1,,"Nigel Clarke 🐡",gb
B,189740,1,10,51,55,,189740,0,STW,ffffff,0073b7,ffffff,,,756,1,,"scaredy pants STW",gb
A,251242,1,10,51,19,,251242,0,"FUSION EVO",ffffff,0a1e29,ffffff,,,3185,1,,"Rasmus Hammer",dk
A,308424,1,10,51,19,,308424,0,"Team Poland",ffffff,dd4b39,ffffff,,,25,1,,"Marcin Krzywonos",pl
A,415856,2,10,51,19,,415856,0,"Team Italy",dd4b39,ffffff,00a65a,,,588,1,,"Edoardo Fustinoni",it
A,428886,1,10,51,19,3,428886,0,ZRG,1bc1f1,5b5b5b,1bc1f1,,,1942,1,,"R. Damitz [ZRG-R])/ZHR(D)",de
B,442903,1,10,51,55,,442903,0,DBR,ffffff,eb7b2a,ffffff,,,1986,1,,"Brian Kerff (DBR)",dk
B,725143,1,10,51,55,,725143,0,,00dd00,,,,,0,1,,"Ghislain MARTY 1657",fr
