category,events,points,league_id,pos,history,tname,tc,tbc,tbd,tid,rank
B,9,98,51,1,1,"Bolt Race Team",ffffff,050505,ff8100,4,
A,12,84,51,1,,"Bolt Race Team",ffffff,050505,ff8100,4,
A,6,69,51,2,1,Vikings,c2c2c2,0073b7,ee6331,90,
B,3,52,51,2,2,"Belgian Zwift Ri",f3f300,111111,dd4b39,35,
B,6,46,51,3,,TPA,ffffff,0073b7,001100,1849,
B,5,37,51,4,3,Race3R,000000,2bc3f4,ffffff,791,
B,2,36,51,5,1,"Team Type 1",ffffff,0073b7,ffffff,168,
B,3,35,51,6,,DanishBikeRiders,ffffff,eb7b2a,ffffff,1986,
B,2,30,51,7,1,Vikings,c2c2c2,0073b7,ee6331,90,
A,3,29,51,3,1,"Vision Cycling",ffffff,2ea9e0,000000,9,
B,2,27,51,8,3,"Totis Viribus ZT",ffffff,212020,d93838,2887,
A,2,24,51,4,3,ZRG,1bc1f1,5b5b5b,1bc1f1,1942,
B,1,23,51,9,,Cykelmagasinet,0f0f0f,36a7eb,0f0303,2127,
A,2,21,51,5,3,"Team Poland",ffffff,dd4b39,ffffff,25,
A,2,21,51,5,1,Innovation,ffffff,0073b7,ffffff,975,
B,2,20,51,10,,"Team TFC",111111,f3f300,111111,10,
B,2,19,51,11,,ZRG,1bc1f1,5b5b5b,1bc1f1,1942,
A,2,19,51,7,,"Team SUI",ffffff,ff0017,ffffff,391,
B,1,19,51,11,2,"New Forest CC",fcfcfc,d40707,14ab1a,2291,
A,2,18,51,8,,"FUSION EVO",ffffff,0a1e29,ffffff,3185,
B,1,17,51,13,,"Team TriRun",ffffff,0073b7,ffffff,3261,
C,2,17,51,1,3,Vikings,c2c2c2,0073b7,ee6331,90,
B,1,16,51,14,2,"Team Poland",ffffff,dd4b39,ffffff,25,
B,1,15,51,15,,"DIMB RacingTeam",ffffff,0073b7,ffffff,1650,
B,1,15,51,15,,C.E.Rayoteam,ffffff,0073b7,ffffff,3099,
B,1,14,51,17,2,"Kaliningrad team",0073b7,ffffff,0073b7,2163,
C,2,14,51,2,3,SpeedVille.de,ffffff,14ba14,ffffff,3190,
A,1,12,51,9,,"Maximum Thrust",040312,9cb2e8,d4e60d,120,
A,1,12,51,9,2,"Danish eCyclingC",ffffff,0073b7,ffffff,2468,
B,1,11,51,18,,"TEAM FSK",ffffff,0073b7,ffffff,103,
A,2,10,51,11,,TeamNL,ffffff,ffa500,ffa500,2281,
A,2,10,51,11,,"Team Italy",dd4b39,ffffff,00a65a,588,
A,1,10,51,11,,BOXFISH,ffffff,0073b7,ffffff,2943,
B,1,10,51,19,,STW,ffffff,0073b7,ffffff,756,
B,1,10,51,19,,"Team CLS",3d9970,ffffff,ffffff,1426,
A,1,9,51,14,,"Team CLS",3d9970,ffffff,ffffff,1426,
A,2,8,51,15,,Race3R,000000,2bc3f4,ffffff,791,
B,1,8,51,21,,"Oroloko Team",ffffff,0073b7,ffffff,1892,
B,2,8,51,21,,"Team ZHR",ff0000,03228c,03228c,1979,
C,1,8,51,3,1,"Belgian Zwift Ri",f3f300,111111,dd4b39,35,
A,1,8,51,15,2,"Team X",f5f7f6,111111,00a65a,2,
B,1,7,51,23,,"Je Zwift QC",ffffff,003399,ffffff,2571,
B,1,7,51,23,,"DT Rouleurs",ffffff,000000,ff0000,2744,
C,1,7,51,4,,"Bolt Race Team",ffffff,050505,ff8100,4,
A,1,7,51,17,,DanishBikeRiders,ffffff,eb7b2a,ffffff,1986,
A,1,7,51,17,,"FUSION ECT",ffffff,000000,ffffff,2854,
C,1,7,51,4,1,"Team Type 1",ffffff,0073b7,ffffff,168,
B,1,6,51,25,,RuhrRiders,ff8700,000000,5cb0fc,41,
C,1,6,51,6,2,"Gillingham Wheel",ffffff,02a1f7,c75454,2783,
C,1,6,51,6,,"Team CLS",3d9970,ffffff,ffffff,1426,
