category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums
A,5,70,Innovation,975,000000,52ff33,000000,Louise Houbak,dk,625825,gold silver silver silver silver
A,5,70,We Showed Up,2216,080707,adff2f,ffffff,Ronna Akins,us,72495,gold silver bronze gold silver bronze
A,5,69,[DRAFT],1634,ffffff,e60d2e,000000,Angela Pitzer&#129410;,us,10196,gold gold bronze
A,4,58,We Showed Up,2216,080707,adff2f,ffffff,Stephanie Ossenbrink,ca,479580,gold silver silver gold
A,4,54,BRT,4,ffffff,050505,ff8100,Moin Moin,dk,417656,gold gold
A,5,41,[DRAFT],1634,ffffff,e60d2e,000000,Emily Joyner,us,394039,silver silver bronze
A,4,38,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Marlene Bj&auml;rehed,se,289822,
A,3,38,,0,00dd00,,,Julia Leye,de,994477,gold silver bronze
A,6,32,Vision,9,ffffff,2ea9e0,000000,Kjersti Hoel,no,169175,silver
A,2,31,Team X,2,f5f7f6,111111,00a65a,sylvie boermans [X],nl,100763,bronze gold
A,4,22,BRT,4,ffffff,050505,ff8100,C. Harris Momsen,cl,719263,
A,3,21,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Beth York &#129418;,us,129099,
A,2,21,Vision,9,ffffff,2ea9e0,000000,M&eacute;lanie LABEYRIE ,fr,623910,
A,2,18,WOPROTEAM,3510,ffffff,34e7e4,ffffff,Lea Milleu,no,470626,bronze bronze
A,1,18,CANYON,2144,ffffff,ff005d,ff005d,Kristin Falck,no,56138,gold
A,2,12,,,,,,Suzy Robinson,gb,27420,silver bronze
A,3,11,ZSUN,161,ffffff,0073b7,ffffff,Sylvie Holmes ZSUN,ca,87284,bronze
A,1,11,REVO,2672,fc00e3,000000,fc00e3,Maria Victoria Vazquez-Tojeiro [REVO] B,es,360262,
A,3,10,Vixen/Fox,1940,7409a6,f79d4b,ffffff,L.S,gb,245625,bronze
A,1,10,ZHR,1979,ff0000,03228c,03228c,Cassie Baldi,gb,13266,gold
A,1,10,BRT,4,ffffff,050505,ff8100,Sarah Croucher[BRT],gb,133126,gold
A,1,10,,0,00dd00,,,Caitlin Lovelace ,us,460524,gold
A,1,9,,,,,,Miriam van Reijen,nl,526983,
A,1,9,,0,00dd00,,,Nicola Valarino,gi,333452,
A,1,5,,,,,,beth fisk,us,202917,bronze
A,1,3,BRT,4,ffffff,050505,ff8100,Aly Bevan BRT Hellcatz B1,gb,794776,
A,1,3,Vision,9,ffffff,2ea9e0,000000,Pamela &lt;V I S I O N&gt;,us,9021,
A,1,3,DBR,1986,ffffff,eb7b2a,ffffff,Anne M. Rasmussen [Racing Viborg],dk,1021906,
A,1,3,Team France,574,dd4b39,ffffff,0073b7,Marie Lafleur,fr,251742,
A,1,2,,,,,,Alexandra N&ouml;hles/Carpe Diem ),de,467406,
A,1,1,,0,00dd00,,,Marianne van Leeuwen,nl,1122514,
B,5,129,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Jennifer Krueger,us,80832,gold gold
B,6,126,BRT,4,ffffff,050505,ff8100,Jessica Hamilton,nz,653395,silver bronze gold gold gold gold
B,6,118,ZSUN,161,ffffff,0073b7,ffffff,C Scott,gb-sct,340007,bronze silver
B,5,116,PTz,1,ffffff,403d3a,e3680f,Siv Engmo,no,217993,silver bronze gold silver
B,6,97,PTz,1,ffffff,403d3a,e3680f,Karen Richardson,us,134257,silver
B,6,89,ZSUN,161,ffffff,0073b7,ffffff,Hilde Asperheim,no,288940,gold bronze
B,5,82,TFC,10,111111,f3f300,111111,Sarah Barber,us,296530,gold bronze silver
B,5,81,REVO,2672,fc00e3,000000,fc00e3,Silje Holmsen [REVO] B,no,188434,silver bronze
B,5,81,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Laura Hewitt,ca,271103,bronze
B,5,73,BRT,4,ffffff,050505,ff8100,Jen Doyle [BRT],gb,115835,silver
B,4,67,We Showed Up,2216,080707,adff2f,ffffff,Megan Holtham 6520,ca,242405,gold bronze bronze
B,6,57,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Diana Wilson &#129418;,ca,934846,
B,5,57,We Showed Up,2216,080707,adff2f,ffffff,tracy moore,ca,654026,
B,5,56,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Susanne Freidberg &#129418;,us,177766,gold
B,3,45,REVO,2672,fc00e3,000000,fc00e3,Suzanne Bessette [REVO] B,us,569518,
B,3,45,ZSUN,161,ffffff,0073b7,ffffff,Carrie Merritt ,us,456545,
B,2,41,REVO,2672,fc00e3,000000,fc00e3,Christine Culver [REVO],us,370756,gold
B,2,36,REVO,2672,fc00e3,000000,fc00e3,Sylvia Granlund [REVO] ,no,165013,
B,2,30,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Dame D ,us,128591,
B,2,30,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Carey Conabeare &#129418;,gb,182411,silver
B,3,29,BRT,4,ffffff,050505,ff8100,Amy Johnson 4376,gb,88534,
B,2,27,PTz,1,ffffff,403d3a,e3680f,sonia insley,gb,70830,
B,2,24,REVO,2672,fc00e3,000000,fc00e3,Anna Rogers [REVO] B,ca,265859,bronze
