Location
Kent,Dartford,England
Montrose,TAS,Australia
Melbourne,Victoria,Australia
Oskarshamn,Kalma lan,Sweden
Prestwick,Ayrshire,Scotland 
Kilgetty,Pembrokeshire,Wales
Leicester,Midlands,UK
Armagh,Northern Ireland,United Kingdom
Lisburn,County Antrim,Northern Ireland
Douglas,Northern Cape,South Africa
Arth,Schwyz,Switzerland
Bristol,South Gloucestershire,Uk
Durham,County durham,Uk
London,South East,UK
Dunfermline,Fife,Scotland 
Plymouth,Devon,United Kingdom
Bristol,England,UK
Chelmsford,Essex,UK
Fulham,London,United Kingdom
London,London,England
Wahlhausen,Hosingen,Luxembourg
Tunbridge Wells,Kent,United Kingdom
Worcester,Worcester,Uk
Southampton,Hampshire,United Kingdom
Skopje,,Macedonia
Montreal,Quebec,Canada
Alvarado,TX,USA
Kitchener,Ontario,Canada
Liverpool,Merseyside,UK 
ciudad autonoma buenos aires,buenos aires,argentina
Aberdeen,Aberdeenshire,United Kingdom 
Lena,Oppland,Norway
Vadstena,,Sweden
Sedgefield,Durham,United Kingdom
COSNES ET ROMAIN,Meurthe-Et-Moselle,France
Niedersachsen - Oldenburg,Deutschland,Deutschland
Scarborough,North Yorkshire,England
London,London,England 
Texas,,USA
Windsor,Berkshire,England
Liverpool,Merseyside,UK
Newcastle,Tyne and Wear,United Kingdom
Byron Center,MI,United States
Ourense,Ourense,Spain
Barnsley,Yorkshire,England 
Trowbridge,Wiltshire,England
